キャラクター,タイトル,
佐々木優佳（ささき ゆうか）,サークレット・プリンセス,10
笠原美由紀（かさはら みゆき）,サークレット・プリンセス,
黒田怜奈（くろだ れいな）,サークレット・プリンセス,
相沢歩（あいざわ あゆむ）,サークレット・プリンセス,
ニーナ・アヴェリン,サークレット・プリンセス,
日比野貴音（ひびの たかね）,サークレット・プリンセス,
関口サリナ（せきぐち サリナ）,サークレット・プリンセス,
藤村千景（ふじむら ちかげ）,サークレット・プリンセス,
杉浦日和（すぎうら ひより）,サークレット・プリンセス,
飯田霞（いいだ かすみ）,サークレット・プリンセス,
吉野（よしの）,サークレット・プリンセス,
常見アキラ（つねみ あきら）,サークレット・プリンセス,
原アリサ（はら ありさ）,サークレット・プリンセス,
山内クリスティ（やまうち クリスティ）,サークレット・プリンセス,
芳村薫（よしむら かおる）,サークレット・プリンセス,
ジークフリート/相沢誠（あいざわ まこと）,サークレット・プリンセス,
MR司会,サークレット・プリンセス,
山神 ルーシー（略）（やまがみ ルーシー）,サーバント×サービス,10
長谷部 豊（はせべ ゆたか）,サーバント×サービス,
三好 紗耶（みよし さや）,サーバント×サービス,
千早 恵（ちはや めぐみ）,サーバント×サービス,
一宮 大志（いちみや たいし）,サーバント×サービス,
一宮 塔子（いちみや とうこ）,サーバント×サービス,
百井 兼蔵（ももい けんぞう）,サーバント×サービス,
田中 譲二（たなか じょうじ）,サーバント×サービス,
百井 花音（ももい かのん）,サーバント×サービス,
ルーシー父,サーバント×サービス,
ルーシー母,サーバント×サービス,
マジカルフラワーズ,サーバント×サービス,
ガーベラピンク,サーバント×サービス,
ローズブラック,サーバント×サービス,
ブルーハイドランジア,サーバント×サービス,
ミモザイエロー,サーバント×サービス,
ルピナスパープル,サーバント×サービス,
山田中さん,サーバント×サービス,
サーバント×サービス×サービス,サーバント×サービス,
紅 秀麗（こう しゅうれい）,彩雲国物語,10
紫 劉輝（し りゅうき）,彩雲国物語,
茈 静蘭（し せいらん）,彩雲国物語,
李 絳攸（り こうゆう）,彩雲国物語,
藍 楸瑛（らん しゅうえい）,彩雲国物語,
紅 邵可（こう しょうか）,彩雲国物語,
紫 劉輝,彩雲国物語,
清苑公子（せいえんこうし）,彩雲国物語,
蒼玄王（そうげんおう）,彩雲国物語,
蒼周王（そうしゅうおう）,彩雲国物語,
紫 戩華（し せんか）,彩雲国物語,
鈴蘭の君（すずらんのきみ）,彩雲国物語,
第六妾妃（だいろくしょうひ）,彩雲国物語,
鄭 悠舜（てい ゆうしゅん）,彩雲国物語,
李 絳攸,彩雲国物語,
紅 黎深（こう れいしん）,彩雲国物語,
碧 珀明（へき はくめい）,彩雲国物語,
楊修（よう しゅう）,彩雲国物語,
黄 奇人（こう きじん）,彩雲国物語,
景 柚梨（けい ゆうり）,彩雲国物語,
高 天凱（こう てんがい）、碧 遜史（へき そんし）,彩雲国物語,
魯尚書（ろしょうしょ）,彩雲国物語,
蔡前尚書（さいぜんしょうしょ）,彩雲国物語,
和官吏（わかんり）,彩雲国物語,
管 飛翔（かん ひしょう）,彩雲国物語,
欧陽 玉（おうよう ぎょく）,彩雲国物語,
陶老師（とうろうし）,彩雲国物語,
若い医師たち（わかいいしたち）,彩雲国物語,
来 俊臣（らい しゅんしん）,彩雲国物語,
孫 陵王（そん りょうおう）,彩雲国物語,
孟侍郎（もうじろう）,彩雲国物語,
白 雷炎（はく らいえん）,彩雲国物語,
皇 子竜（こう しりゅう）,彩雲国物語,
黒 燿世（こく ようせい）,彩雲国物語,
皐 韓升（こう かんしょう）,彩雲国物語,
霄 瑤璇（しょう ようせん）,彩雲国物語,
宋 隼凱（そう しゅんがい）,彩雲国物語,
茶 鴛洵（さ えんじゅん）,彩雲国物語,
珠翠（しゅすい）,彩雲国物語,
香鈴（こうりん）,彩雲国物語,
十三姫（じゅうさんひめ）,彩雲国物語,
紅 玉環（こう ぎょくかん）,彩雲国物語,
羽 羽（う う）,彩雲国物語,
リオウ,彩雲国物語,
旺季（おう き）,彩雲国物語,
凌 晏樹（りょう あんじゅ）,彩雲国物語,
葵 皇毅（き こうき）,彩雲国物語,
陸 清雅（りく せいが）,彩雲国物語,
紅 秀麗,彩雲国物語,
浪 燕青,彩雲国物語,
榛 蘇芳（しん すおう）,彩雲国物語,
鬼姫（きひめ）,彩雲国物語,
紅 邵可,彩雲国物語,
珠翠,彩雲国物語,
北斗（ほくと）,彩雲国物語,
鳳 叔牙（ほう しゅくが）,彩雲国物語,
冗官たち（じょうかん）,彩雲国物語,
胡蝶（こちょう）,彩雲国物語,
大旦那（おおだんな）,彩雲国物語,
葉 棕庚（よう しゅこう）,彩雲国物語,
榛 淵西（しん えんさい）,彩雲国物語,
王 慶張（おう けいちょう）,彩雲国物語,
杜 影月（と えいげつ）,彩雲国物語,
陽月（ようげつ）,彩雲国物語,
浪 燕青（ろう えんせい）,彩雲国物語,
鄭 悠舜,彩雲国物語,
香鈴,彩雲国物語,
茗才（めいさい）,彩雲国物語,
丙太守（へいたいしゅ）,彩雲国物語,
櫂 瑜（かい ゆ）,彩雲国物語,
柴 彰（さい しょう）,彩雲国物語,
柴 凛（さい りん）,彩雲国物語,
茶 鴛洵,彩雲国物語,
茶 克洵（さ こくじゅん）,彩雲国物語,
茶 春姫（さ しゅんき）,彩雲国物語,
縹 英姫（ひょう えいき）,彩雲国物語,
茶 仲障（さ ちゅうしょう）,彩雲国物語,
茶 草洵（さ そうじゅん）,彩雲国物語,
茶 朔洵（さ さくじゅん）,彩雲国物語,
朱温 （しゅおん）,彩雲国物語,
千夜（せんや）,彩雲国物語,
晁蓋（ちょうがい）,彩雲国物語,
瞑祥（めいしょう）,彩雲国物語,
智多星（ちたせい）,彩雲国物語,
小旋風（しょうせんぷう）,彩雲国物語,
小棍王（しょうこんおう）,彩雲国物語,
シュウラン,彩雲国物語,
南老師（なん ろうし）,彩雲国物語,
北斗,彩雲国物語,
翔琳（しょうりん）,彩雲国物語,
曜春（ようしゅん）,彩雲国物語,
劉 志美（りゅう しび）,彩雲国物語,
荀彧（じゅんいく）,彩雲国物語,
紅 黎深,彩雲国物語,
紅 玖琅（こう くろう）,彩雲国物語,
百合（ゆり）,彩雲国物語,
薔薇姫（ばらひめ）,彩雲国物語,
姜 文仲（きょう ぶんちゅう）,彩雲国物語,
藍州州尹（らんしゅうしゅういん）,彩雲国物語,
藍 楸瑛,彩雲国物語,
藍 龍蓮（らん りゅうれん）,彩雲国物語,
藍 雪那（らん せつな）,彩雲国物語,
藍 十三姫,彩雲国物語,
玉華（ぎょくか）,彩雲国物語,
藍家前当主,彩雲国物語,
司馬 迅（しば じん）,彩雲国物語,
司馬 勇（しば ゆう）,彩雲国物語,
司馬 龍（しば りゅう）,彩雲国物語,
黄 奇人,彩雲国物語,
景 柚梨,彩雲国物語,
彗茄（けいな）,彩雲国物語,
碧 珀明,彩雲国物語,
碧 歌梨（へき かりん）,彩雲国物語,
欧陽 純（おうよう じゅん）,彩雲国物語,
碧 万里（へき ばんり）,彩雲国物語,
欧陽 玉,彩雲国物語,
櫂 瑜,彩雲国物語,
黒 燿世,彩雲国物語,
杜 影月,彩雲国物語,
華 眞（か しん）,彩雲国物語,
白 雷炎,彩雲国物語,
蒼玄王,彩雲国物語,
蒼遙姫（そうようき）,彩雲国物語,
縹 璃桜（ひょう りおう）,彩雲国物語,
縹 漣（ひょう れん）,彩雲国物語,
縹 瑠花（ひょう るか）,彩雲国物語,
飛燕姫（ひえんひめ）,彩雲国物語,
蒼遙姫,彩雲国物語,
薔薇姫,彩雲国物語,
縹家前当主,彩雲国物語,
立香（りっか）,彩雲国物語,
華 娜,彩雲国物語,
華 眞,彩雲国物語,
雨師、風伯（うし、ふうはく）,彩雲国物語,
