キャラクター,タイトル,
山岡 士郎,美味しんぼ,4
山岡（栗田） ゆう子,美味しんぼ,
山岡 遊美,美味しんぼ,
山岡 陽士,美味しんぼ,
山岡 遊璃,美味しんぼ,
海原 雄山,美味しんぼ,
海原（山岡） とし子,美味しんぼ,
栗田 信一,美味しんぼ,
栗田 文枝,美味しんぼ,
栗田 たま代,美味しんぼ,
栗田 誠,美味しんぼ,
滝本 たか子,美味しんぼ,
滝本 しずか,美味しんぼ,
大柱 永一,美味しんぼ,
沢野重一・明代夫妻,美味しんぼ,
中川 得夫,美味しんぼ,
岡星 良三,美味しんぼ,
宮井,美味しんぼ,
鈴子,美味しんぼ,
中川 チヨ,美味しんぼ,
おウメ,美味しんぼ,
おタネ,美味しんぼ,
進藤,美味しんぼ,
中松警部,美味しんぼ,
中松 歌子,美味しんぼ,
大石警部,美味しんぼ,
大石 みさ子,美味しんぼ,
快楽亭ブラック[9],美味しんぼ,
テルエ,美味しんぼ,
テルコ,美味しんぼ,
中本 恒一,美味しんぼ,
近城 勇,美味しんぼ,
近城 まり子,美味しんぼ,
団 一郎,美味しんぼ,
ゆう子,美味しんぼ,
立村,美味しんぼ,
ジュディ・クリスティ,美味しんぼ,
岡星 精一,美味しんぼ,
岡星 冬美,美味しんぼ,
田山 勇一,美味しんぼ,
ジェフ・ラーソン,美味しんぼ,
王 士秀,美味しんぼ,
周 香玉,美味しんぼ,
北尾 夏子,美味しんぼ,
北尾 照一,美味しんぼ,
花森みな子,美味しんぼ,
唐山 陶人,美味しんぼ,
唐山 領子,美味しんぼ,
京極 万太郎,美味しんぼ,
辰さん,美味しんぼ,
板山 秀司,美味しんぼ,
板山の妻,美味しんぼ,
おマチ婆っちゃん,美味しんぼ,
大不二 清兵衛,美味しんぼ,
周 懐徳,美味しんぼ,
宗 芳蘭,美味しんぼ,
曲垣,美味しんぼ,
角丸 豊介,美味しんぼ,
尾沢 平助,美味しんぼ,
尾沢 はる,美味しんぼ,
針沢 朝雲,美味しんぼ,
きま子,美味しんぼ,
大石 勝代,美味しんぼ,
快楽亭八笑,美味しんぼ,
二代目福々亭末吉,美味しんぼ,
ロジャー、ケイト夫妻,美味しんぼ,
テルエの父親（快楽亭ブラックの義父）,美味しんぼ,
さえずりタマコ・タマヨ,美味しんぼ,
若吉葉,美味しんぼ,
すみ子,美味しんぼ,
島高親方（声 - 田中康郎→飯塚昭三）、島高部屋のおかみさん（声 - 近藤高子）,美味しんぼ,
鏡洋,美味しんぼ,
嶺山 知一,美味しんぼ,
秀沢 民男,美味しんぼ,
平町 法明,美味しんぼ,
三河 元良,美味しんぼ,
南,美味しんぼ,
二木会長,美味しんぼ,
二木 崇,美味しんぼ,
輝子,美味しんぼ,
片森,美味しんぼ,
野前,美味しんぼ,
南村敬一、貴恵子,美味しんぼ,
季子,美味しんぼ,
安 明福（アン・ミンポク）,美味しんぼ,
西浜 タエ,美味しんぼ,
富二郎,美味しんぼ,
木山牧場の牧場長,美味しんぼ,
大木 一造,美味しんぼ,
寺杉由夫,美味しんぼ,
サビーネ・ミュラー,美味しんぼ,
楊 ますみ・楊 まゆみ,美味しんぼ,
大南 重吉,美味しんぼ,
真山 浩一,美味しんぼ,
力屋の面々,美味しんぼ,
水野 ふみ,美味しんぼ,
君島さわ子,美味しんぼ,
溝木豊,美味しんぼ,
溝木圭子,美味しんぼ,
本村,美味しんぼ,
登田,美味しんぼ,
喜多 永一,美味しんぼ,
吉村信康,美味しんぼ,
木崎,美味しんぼ,
栃川 北男,美味しんぼ,
芝浜樹一,美味しんぼ,
中里マスター,美味しんぼ,
室野寛也,美味しんぼ,
富井 修,美味しんぼ,
足田保孝,美味しんぼ,
信子,美味しんぼ,
アーサー・ブラウン,美味しんぼ,
多山宗一,美味しんぼ,
ジャック・バーバー,美味しんぼ,
白城(しらき),美味しんぼ,
大河 猪太,美味しんぼ,
朝井 季子（としこ）,美味しんぼ,
石本 教一,美味しんぼ,
伸江,美味しんぼ,
橋田功夫・春代夫妻,美味しんぼ,
長井 伸助,美味しんぼ,
ラーメン三銃士,美味しんぼ,
平山相談役,美味しんぼ,
水村,美味しんぼ,
谷村部長の同級生たち,美味しんぼ,
花尾 若骨,美味しんぼ,
深川 かや子,美味しんぼ,
上杉 俊充,美味しんぼ,
田所 誠司,美味しんぼ,
大仁 定義,美味しんぼ,
大河原 美津夫,美味しんぼ,
金上 鋭,美味しんぼ,
金上 金作,美味しんぼ,
北大路魯山人,美味しんぼ,
永田先生,美味しんぼ,
西 健一郎,美味しんぼ,
岸朝子,美味しんぼ,
道場六三郎,美味しんぼ,
レヌ・アロラ,美味しんぼ,
陳建民,美味しんぼ,
ヒロ（大海ヒロシ）,黄金戦士ゴールドライタン,4
エミー（高倉エミー）,黄金戦士ゴールドライタン,
サム（南条オサム）,黄金戦士ゴールドライタン,
トンボ（極楽友和）,黄金戦士ゴールドライタン,
モンキー（木枯紋吉）,黄金戦士ゴールドライタン,
ビッグ（水木太）,黄金戦士ゴールドライタン,
オヒナ,黄金戦士ゴールドライタン,
油田八平先生,黄金戦士ゴールドライタン,
ゴールドライタン,黄金戦士ゴールドライタン,
スコープライタン,黄金戦士ゴールドライタン,
アイシーライタン[12],黄金戦士ゴールドライタン,
タイムライタン,黄金戦士ゴールドライタン,
デンジライタン[13],黄金戦士ゴールドライタン,
メカニックライタン,黄金戦士ゴールドライタン,
コンピューライタン,黄金戦士ゴールドライタン,
イバルダ大王,黄金戦士ゴールドライタン,
イバルダ三原則,黄金戦士ゴールドライタン,
ウヨッカー,黄金戦士ゴールドライタン,
サヨッカー,黄金戦士ゴールドライタン,
マンナッカー,黄金戦士ゴールドライタン,
ミスターメカX,黄金戦士ゴールドライタン,
原島拓矢（はらしま たくや）,黄金勇者ゴルドラン,4
時村和樹（ときむら かずき）,黄金勇者ゴルドラン,
須賀沼大（すがぬま だい）,黄金勇者ゴルドラン,
ワルター・ワルザック / イーター・イーザック,黄金勇者ゴルドラン,
カーネル・サングロス,黄金勇者ゴルドラン,
シリアス・ワルザック,黄金勇者ゴルドラン,
レイザー,黄金勇者ゴルドラン,
トレジャー・ワルザック皇帝,黄金勇者ゴルドラン,
シャランラ・シースルー,黄金勇者ゴルドラン,
ミチル,黄金勇者ゴルドラン,
マリア,黄金勇者ゴルドラン,
ソドラ王,黄金勇者ゴルドラン,
レディリカ・ド・レジェンドラ,黄金勇者ゴルドラン,
ドラン,黄金勇者ゴルドラン,
黄金竜ゴルゴン,黄金勇者ゴルドラン,
ゴルドラン,黄金勇者ゴルドラン,
空影,黄金勇者ゴルドラン,
スカイゴルドラン,黄金勇者ゴルドラン,
レオン,黄金勇者ゴルドラン,
レオンカイザー,黄金勇者ゴルドラン,
スカイレオンカイザー,黄金勇者ゴルドラン,
グレートゴルドラン,黄金勇者ゴルドラン,
ジェットシルバー,黄金勇者ゴルドラン,
スターシルバー,黄金勇者ゴルドラン,
ドリルシルバー,黄金勇者ゴルドラン,
ファイヤーシルバー,黄金勇者ゴルドラン,
シルバリオン,黄金勇者ゴルドラン,
ゴッドシルバリオン,黄金勇者ゴルドラン,
アドベンジャー,黄金勇者ゴルドラン,
キャプテンシャーク,黄金勇者ゴルドラン,
ドラ太郎,黄金勇者ゴルドラン,
ドラ次郎,黄金勇者ゴルドラン,
ドラ三郎,黄金勇者ゴルドラン,
ドラ代,黄金勇者ゴルドラン,
カスタムギア,黄金勇者ゴルドラン,
ザゾリガン,黄金勇者ゴルドラン,
デスギャリガン,黄金勇者ゴルドラン,
ミサイルギア,黄金勇者ゴルドラン,
ワルキオン,黄金勇者ゴルドラン,
暗黒剣士ワルドラン,黄金勇者ゴルドラン,
暗黒合体ダークゴルドラン,黄金勇者ゴルドラン,
リバイバロン,黄金勇者ゴルドラン,
エクセルギア,黄金勇者ゴルドラン,
エンブリオ,黄金勇者ゴルドラン,
シュヴァンシュタイン,黄金勇者ゴルドラン,
サイバーデスギャリガン,黄金勇者ゴルドラン,
マーチャンダイジング,黄金勇者ゴルドラン,
恒星間弾道弾デスマルク,黄金勇者ゴルドラン,
ウサリンMk-II,黄金勇者ゴルドラン,
ゴルソドラン,黄金勇者ゴルドラン,
ソドンカイザー,黄金勇者ゴルドラン,
ジン (Jing),王ドロボウJING,4
キール  (Kir),王ドロボウJING,
ポスティーノ (Postino),王ドロボウJING,
