キャラクター,タイトル,
木之本桜（きのもと さくら）,カードキャプターさくら,5
ケルベロス,カードキャプターさくら,
大道寺知世（だいどうじ ともよ）,カードキャプターさくら,
李小狼（リ・シャオラン）,カードキャプターさくら,
木之本桃矢（きのもと とうや）,カードキャプターさくら,
木之本藤隆（きのもと ふじたか）,カードキャプターさくら,
木之本撫子（きのもと なでしこ）,カードキャプターさくら,
月城雪兎（つきしろ ゆきと）,カードキャプターさくら,
月（ユエ）,カードキャプターさくら,
李苺鈴（リ・メイリン）,カードキャプターさくら,
観月歌帆（みづき かほ）,カードキャプターさくら,
柊沢エリオル（ひいらぎざわ エリオル）,カードキャプターさくら,
スピネル・サン,カードキャプターさくら,
ルビー・ムーン / 秋月奈久留（あきづき なくる）,カードキャプターさくら,
クロウ・リード,カードキャプターさくら,
ミラー（鏡）,カードキャプターさくら,
詩之本秋穂（しのもと あきほ）,カードキャプターさくら,
ユナ・D・海渡（ユナ・ディー・かいと）,カードキャプターさくら,
モモ,カードキャプターさくら,
大道寺園美（だいどうじ そのみ）,カードキャプターさくら,
雨宮真嬉（あまみや まさき）,カードキャプターさくら,
佐々木利佳（ささき りか）,カードキャプターさくら,
柳沢奈緒子（やなぎさわ なおこ）,カードキャプターさくら,
三原千春（みはら ちはる）,カードキャプターさくら,
山崎貴史（やまざき たかし）,カードキャプターさくら,
寺田良幸（てらだ よしゆき）,カードキャプターさくら,
知世のボディガードたち,カードキャプターさくら,
松本真樹（まつもと まき）,カードキャプターさくら,
偉望（ウェイ・ワン）,カードキャプターさくら,
木村ゆき絵（きむら ゆきえ）,カードキャプターさくら,
碧麻紀子（みどり まきこ）,カードキャプターさくら,
辻谷彰子（つじたに しょうこ）,カードキャプターさくら,
堤美香（つつみ みか）,カードキャプターさくら,
山本俊信（やまもと としのぶ）,カードキャプターさくら,
橘 優希（たちばな ゆうき）,カードキャプターさくら,
中川 容子（なかがわ ようこ）,カードキャプターさくら,
あかね,カードキャプターさくら,
黒川恵子、河野光一、阿部勝也,カードキャプターさくら,
立花 玲（たちばな れい）,カードキャプターさくら,
女の子,カードキャプターさくら,
李夜蘭（リ・イェラン）,カードキャプターさくら,
李芙蝶（リ・フーティエ）,カードキャプターさくら,
李雪花（リ・シェファ）,カードキャプターさくら,
李黄蓮（リ・ファンレン）,カードキャプターさくら,
李緋梅（リ・フェイメイ）,カードキャプターさくら,
魔道士,カードキャプターさくら,
鳴谷 慧（なるたに けい）,ガーリー・エアフォース,5
宋 明華（ソン ミンホア）,ガーリー・エアフォース,
八代通 遥（やしろどおり はるか）,ガーリー・エアフォース,
慧の母親,ガーリー・エアフォース,
慧の父親,ガーリー・エアフォース,
宋おじさん（ソンおじさん）,ガーリー・エアフォース,
舟戸（ふなと）,ガーリー・エアフォース,
ウィリアム・シャンケル(William Shankle[4]),ガーリー・エアフォース,
ヤロスラフ・ギンツブルク,ガーリー・エアフォース,
グリペン,ガーリー・エアフォース,
イーグル,ガーリー・エアフォース,
ファントム,ガーリー・エアフォース,
トゥエルブ,ガーリー・エアフォース,
バイパーゼロ,ガーリー・エアフォース,
ライノ,ガーリー・エアフォース,
ベルクト,ガーリー・エアフォース,
ラファール,ガーリー・エアフォース,
謎の少女,ガーリー・エアフォース,
ジュラーブリク,ガーリー・エアフォース,
ラーストチュカ,ガーリー・エアフォース,
ディー・オー ／ パクファ,ガーリー・エアフォース,
レイピア,ガーリー・エアフォース,
F-15DJ-ANM イーグル,ガーリー・エアフォース,
EF-2000-ANM タイフーン,ガーリー・エアフォース,
ザイ,ガーリー・エアフォース,
ドーター,ガーリー・エアフォース,
アニマ,ガーリー・エアフォース,
EGG,ガーリー・エアフォース,
NFI（神経融合インタフェース）,ガーリー・エアフォース,
アンフィジカルレイヤー（非物理層）,ガーリー・エアフォース,
ブロウラー (Brawler),ガーリー・エアフォース,
烏丸 千歳（からすま ちとせ）,ガーリッシュナンバー,5
久我山 八重（くがやま やえ）,ガーリッシュナンバー,
片倉 京（かたくら こと）,ガーリッシュナンバー,
苑生 百花（そのう ももか）,ガーリッシュナンバー,
柴崎 万葉（しばさき かずは）,ガーリッシュナンバー,
桜ヶ丘 七海（さくらがおか ななみ）,ガーリッシュナンバー,
九頭（くず）P,ガーリッシュナンバー,
十和田（とわだ）AP,ガーリッシュナンバー,
烏丸 悟浄（からすま ごじょう）,ガーリッシュナンバー,
難波（なんば）社長,ガーリッシュナンバー,
松岡 重三（まつおか じゅうぞう）,ガーリッシュナンバー,
石神井（しゃくじい）P,ガーリッシュナンバー,
河原 睦美（かわはら むつみ）,ガーリッシュナンバー,
万葉マネ,ガーリッシュナンバー,
月島,ガーリッシュナンバー,
声優E,ガーリッシュナンバー,
角倉創,ガーリッシュナンバー,
武部 沙織（たけべ さおり）,ガールズ&パンツァー,5
五十鈴 華（いすず はな）,ガールズ&パンツァー,
秋山 優花里（あきやま ゆかり）,ガールズ&パンツァー,
冷泉 麻子（れいぜい まこ）,ガールズ&パンツァー,
角谷 杏（かどたに あんず）,ガールズ&パンツァー,
小山 柚子（こやま ゆず）,ガールズ&パンツァー,
河嶋 桃（かわしま もも）,ガールズ&パンツァー,
磯辺 典子（いそべ のりこ）,ガールズ&パンツァー,
近藤 妙子（こんどう たえこ）,ガールズ&パンツァー,
河西 忍（かわにし しのぶ）,ガールズ&パンツァー,
佐々木 あけび（ささき あけび）,ガールズ&パンツァー,
カエサル / 鈴木 貴子（すずき たかこ）,ガールズ&パンツァー,
エルヴィン / 松本 里子（まつもと さとこ）,ガールズ&パンツァー,
左衛門佐（さえもんざ） / 杉山 清美（すぎやま きよみ）,ガールズ&パンツァー,
おりょう / 野上 武子（のがみ たけこ）,ガールズ&パンツァー,
澤 梓（さわ あずさ）,ガールズ&パンツァー,
山郷 あゆみ（やまごう あゆみ）,ガールズ&パンツァー,
丸山 紗希（まるやま さき）,ガールズ&パンツァー,
阪口 桂利奈（さかぐち かりな）,ガールズ&パンツァー,
宇津木 優季（うつぎ ゆうき）,ガールズ&パンツァー,
大野 あや（おおの あや）,ガールズ&パンツァー,
そど子（そどこ） / 園 みどり子（その みどりこ）,ガールズ&パンツァー,
ねこにゃー / 猫田（ねこた）,ガールズ&パンツァー,
ももがー,ガールズ&パンツァー,
ぴよたん,ガールズ&パンツァー,
赤星 小梅（あかぼし こうめ）[注釈 31],ガールズ&パンツァー,
ケイ,ガールズ&パンツァー,
ナオミ,ガールズ&パンツァー,
アンチョビ/ 安斎 千代美（あんざい ちよみ）[54],ガールズ&パンツァー,
カルパッチョ,ガールズ&パンツァー,
ペパロニ,ガールズ&パンツァー,
蝶野 亜美（ちょうの あみ）,ガールズ&パンツァー,
五十鈴 百合（いすず ゆり）,ガールズ&パンツァー,
新三郎（しんざぶろう）,ガールズ&パンツァー,
秋山 淳五郎（あきやま じゅんごろう）,ガールズ&パンツァー,
秋山 好子（あきやま よしこ）,ガールズ&パンツァー,
冷泉 久子（れいぜい ひさこ）,ガールズ&パンツァー,
島田 千代（しまだ ちよ）,ガールズ&パンツァー,
西 絹代（にし きぬよ）,ガールズ&パンツァー,
福田（ふくだ）,ガールズ&パンツァー,
島田 愛里寿（しまだ ありす）,ガールズ&パンツァー,
役人（辻 廉太）,ガールズ&パンツァー,
日本戦車道連盟理事長（児玉 七郎）[72],ガールズ&パンツァー,
西住 しほ（にしずみ しほ）,ガールズ&パンツァー,
