キャラクター,タイトル,
ヴァイオレット・エヴァーガーデン,ヴァイオレット・エヴァーガーデン,2
ギルベルト・ブーゲンビリア,ヴァイオレット・エヴァーガーデン,
クラウディア・ホッジンズ,ヴァイオレット・エヴァーガーデン,
カトレア・ボードレール,ヴァイオレット・エヴァーガーデン,
ベネディクト・ブルー,ヴァイオレット・エヴァーガーデン,
エリカ・ブラウン,ヴァイオレット・エヴァーガーデン,
アイリス・カナリー,ヴァイオレット・エヴァーガーデン,
ラックス・シビュラ,ヴァイオレット・エヴァーガーデン,
ローランド,ヴァイオレット・エヴァーガーデン,
ティファニー・エヴァーガーデン,ヴァイオレット・エヴァーガーデン,
ディートフリート・ブーゲンビリア,ヴァイオレット・エヴァーガーデン,
ブーゲンビリア夫人,ヴァイオレット・エヴァーガーデン,
ローダンセ,ヴァイオレット・エヴァーガーデン,
イベリス・コノウエ,ヴァイオレット・エヴァーガーデン,
ブルーベル・ユノア,ヴァイオレット・エヴァーガーデン,
ルクリア・モールバラ,ヴァイオレット・エヴァーガーデン,
スペンサー・モールバラ,ヴァイオレット・エヴァーガーデン,
シャルロッテ・エーベルフレイヤ・ドロッセル,ヴァイオレット・エヴァーガーデン,
ルベリエ,ヴァイオレット・エヴァーガーデン,
オスカー・ウェブスター,ヴァイオレット・エヴァーガーデン,
クラーラ・マグノリア,ヴァイオレット・エヴァーガーデン,
エイダン・フィールド,ヴァイオレット・エヴァーガーデン,
リオン・ステファノティス,ヴァイオレット・エヴァーガーデン,
オリビア・ウェブスター,ヴァイオレット・エヴァーガーデン,
アン・マグノリア,ヴァイオレット・エヴァーガーデン,
アヤ,ヴァイスクロイツ,2
ケン,ヴァイスクロイツ,
ヨージ,ヴァイスクロイツ,
オミ,ヴァイスクロイツ,
ペルシャ,ヴァイスクロイツ,
マンクス,ヴァイスクロイツ,
バーマン,ヴァイスクロイツ,
烏丸善郎（からすま よしろう）,ヴァイスクロイツ,
鷹取玲司（たかとり れいじ）,ヴァイスクロイツ,
鷹取広史（たかとり ひろふみ）,ヴァイスクロイツ,
鷹取雅史（たかとり まさふみ）,ヴァイスクロイツ,
ブラッド・クロフォード,ヴァイスクロイツ,
シュルディッヒ,ヴァイスクロイツ,
直江那岐（なおえ なぎ）,ヴァイスクロイツ,
ファルファレロ,ヴァイスクロイツ,
ヘル,ヴァイスクロイツ,
トート,ヴァイスクロイツ,
ノイ,ヴァイスクロイツ,
シェーン,ヴァイスクロイツ,
桔梗（ききょう）,ヴァイスクロイツ,
黒百合（くろゆり）,ヴァイスクロイツ,
