chara,title,
ジョシュア・グラント（Joshua Grant）,マージナルプリンス～月桂樹の王子達～,30
アルフレッド・ヴィスコンティ（Alfred Visconti）,マージナルプリンス～月桂樹の王子達～,
アンリ＝ユーグ＝ド＝サン・ジェルマン（Henri-Hugues de Saint Germain）,マージナルプリンス～月桂樹の王子達～,
シルヴァン・クラーク（Sylvain Clark）,マージナルプリンス～月桂樹の王子達～,
小林 春也（こばやし はるや、Haruya Kobayashi）,マージナルプリンス～月桂樹の王子達～,
ユウタ（Yuuta）,マージナルプリンス～月桂樹の王子達～,
染谷 俊教授（そめや しゅんきょうじゅ、Prof. Shun Someya）,マージナルプリンス～月桂樹の王子達～,
スタニスラフ・ソクーロフ（Stanislav Sokurov）,マージナルプリンス～月桂樹の王子達～,
ミハイル・リューリコヴィッチ・ネフスキー（Mikhail Nevsky）,マージナルプリンス～月桂樹の王子達～,
エンジュ・ファドラーン（Yenje Fadlan）,マージナルプリンス～月桂樹の王子達～,
バトラー,マージナルプリンス～月桂樹の王子達～,
アイヴィー,マージナルプリンス～月桂樹の王子達～,
オーギュストン・ボージュ,マージナルプリンス～月桂樹の王子達～,
エンジュ,マージナルプリンス～月桂樹の王子達～,
クリスティーナ・グラント,マージナルプリンス～月桂樹の王子達～,
姉貴（ユウタの姉）,マージナルプリンス～月桂樹の王子達～,
麻衣 マチコ,まいっちんぐマチコ先生,30
池上 ケン太,まいっちんぐマチコ先生,
亀山 タマ夫,まいっちんぐマチコ先生,
網走 金三,まいっちんぐマチコ先生,
山形 国男,まいっちんぐマチコ先生,
福岡先生,まいっちんぐマチコ先生,
松本 ヒロシ,まいっちんぐマチコ先生,
成城 ヒロミ,まいっちんぐマチコ先生,
横浜 テンコ,まいっちんぐマチコ先生,
まる子,まいっちんぐマチコ先生,
長崎 まどか,まいっちんぐマチコ先生,
コケダルマ,まいっちんぐマチコ先生,
愛知 タマ子,まいっちんぐマチコ先生,
キューティーマーク（Cutie Mark）,マイリトルポニー～トモダチは魔法～,30
エレメント・オブ・ハーモニー,マイリトルポニー～トモダチは魔法～,
エクエストリア（Equestria）,マイリトルポニー～トモダチは魔法～,
キャンタロット（Canterlot）,マイリトルポニー～トモダチは魔法～,
ポニービル（Ponyville）,マイリトルポニー～トモダチは魔法～,
帰らずの森（Ever Free Forest）,マイリトルポニー～トモダチは魔法～,
クラウズデール（Cloudsdale）,マイリトルポニー～トモダチは魔法～,
アップルーサ（Appleloosa）,マイリトルポニー～トモダチは魔法～,
メーンハッタン（Manehattan）,マイリトルポニー～トモダチは魔法～,
フィリーデルフィア（Fillydelphia）,マイリトルポニー～トモダチは魔法～,
アースポニー,マイリトルポニー～トモダチは魔法～,
ペガサス,マイリトルポニー～トモダチは魔法～,
ユニコーン,マイリトルポニー～トモダチは魔法～,
アリコーン,マイリトルポニー～トモダチは魔法～,
トワイライトスパークル (Twilight Sparkle),マイリトルポニー～トモダチは魔法～,
ピンキーパイ (Pinkie Pie),マイリトルポニー～トモダチは魔法～,
レインボーダッシュ (Rainbow Dash),マイリトルポニー～トモダチは魔法～,
アップルジャック (Applejack),マイリトルポニー～トモダチは魔法～,
ラリティ (Rarity),マイリトルポニー～トモダチは魔法～,
フラッターシャイ (Fluttershy),マイリトルポニー～トモダチは魔法～,
スパイク (Spike),マイリトルポニー～トモダチは魔法～,
プリンセスセレスティア (Princess Celestia),マイリトルポニー～トモダチは魔法～,
アップルブルーム (Apple Bloom),マイリトルポニー～トモダチは魔法～,
スクータルー (Scootaloo),マイリトルポニー～トモダチは魔法～,
スウィーティーベル (Sweetie Belle),マイリトルポニー～トモダチは魔法～,
シャイニングアーマー (Shining Armor),マイリトルポニー～トモダチは魔法～,
トワイライトスパークルの両親,マイリトルポニー～トモダチは魔法～,
アウルイシャス (Owlosius),マイリトルポニー～トモダチは魔法～,
ビッグマッキントッシュ (Big Macintosh),マイリトルポニー～トモダチは魔法～,
グラニースミス (Granny Smith),マイリトルポニー～トモダチは魔法～,
ウィノナ (Winona),マイリトルポニー～トモダチは魔法～,
タンク (Tank),マイリトルポニー～トモダチは魔法～,
ピンキーパイの両親と妹,マイリトルポニー～トモダチは魔法～,
ミスタキャロットケーキ & ミセスカップケーキ (Mr. Carrot Cake & Mrs. Cup Cake),マイリトルポニー～トモダチは魔法～,
パウンドケーキ & パンプキンケーキ (Pound Cake & Pumpkin Cake),マイリトルポニー～トモダチは魔法～,
モードパイ (Maud Pie),マイリトルポニー～トモダチは魔法～,
ガミー (Gummy),マイリトルポニー～トモダチは魔法～,
エンジェル (Angel),マイリトルポニー～トモダチは魔法～,
ハリー (Harry),マイリトルポニー～トモダチは魔法～,
ファジーレッグス (Fuzzy Legs),マイリトルポニー～トモダチは魔法～,
オパール (Opal),マイリトルポニー～トモダチは魔法～,
プリンセスルナ (Princess Luna),マイリトルポニー～トモダチは魔法～,
フィラミナ（Philomena）,マイリトルポニー～トモダチは魔法～,
プリンセスケイデンス (Princess Cadance),マイリトルポニー～トモダチは魔法～,
町長 (Mayor),マイリトルポニー～トモダチは魔法～,
チアリー (Cheerilee),マイリトルポニー～トモダチは魔法～,
ゼコラ (Zecora),マイリトルポニー～トモダチは魔法～,
スニップス&スネイルズ (Snips & Snails),マイリトルポニー～トモダチは魔法～,
スニップス (Snips),マイリトルポニー～トモダチは魔法～,
スネイルズ (Snails),マイリトルポニー～トモダチは魔法～,
ツイスト (Twist),マイリトルポニー～トモダチは魔法～,
ピップスクィーク (Pipsqueak),マイリトルポニー～トモダチは魔法～,
ダーピー・フーヴス (Derpy Hooves),マイリトルポニー～トモダチは魔法～,
クラウドチェイサー (Cloud Chaser),マイリトルポニー～トモダチは魔法～,
フリッター (Flitter),マイリトルポニー～トモダチは魔法～,
バルクバイセップス（別名：スノー・フレーク）,マイリトルポニー～トモダチは魔法～,
サンダーレーン (Thunder Lane),マイリトルポニー～トモダチは魔法～,
フェザーウェイト (Featherweight),マイリトルポニー～トモダチは魔法～,
インク染みポニー,マイリトルポニー～トモダチは魔法～,
ナイトメアムーン (Nightmare Moon),マイリトルポニー～トモダチは魔法～,
シャドウボルト (The Shadowbolts),マイリトルポニー～トモダチは魔法～,
ギルダ (Gilda),マイリトルポニー～トモダチは魔法～,
トリクシー (Trixie),マイリトルポニー～トモダチは魔法～,
ダイアモンドティアラ & シルバースプーン (Diamond Tiara & Silver Spoon),マイリトルポニー～トモダチは魔法～,
ダイアモンドティアラ (Diamond Tiara),マイリトルポニー～トモダチは魔法～,
シルバースプーン (Silver Spoon),マイリトルポニー～トモダチは魔法～,
コカトリス (Cockatrice),マイリトルポニー～トモダチは魔法～,
ダイアモンドドッグ (Diamond Dogs),マイリトルポニー～トモダチは魔法～,
ドラゴン (Dragon),マイリトルポニー～トモダチは魔法～,
ディスコード (Discord),マイリトルポニー～トモダチは魔法～,
フリム & フラム兄弟 (Flim Flam brothers),マイリトルポニー～トモダチは魔法～,
アイアンウィル (Iron Will),マイリトルポニー～トモダチは魔法～,
ガーブル (Garble),マイリトルポニー～トモダチは魔法～,
ほそっちょドラゴン (),マイリトルポニー～トモダチは魔法～,
ふとっちょドラゴン (),マイリトルポニー～トモダチは魔法～,
白ドラゴン (White Dragon),マイリトルポニー～トモダチは魔法～,
紫ドラゴン (Purple Dragon),マイリトルポニー～トモダチは魔法～,
クラックル (Crackle),マイリトルポニー～トモダチは魔法～,
クイーンクリサリス (Queen Chrysalis),マイリトルポニー～トモダチは魔法～,
キングソンブラ (King Sombra),マイリトルポニー～トモダチは魔法～,
ドクターカバーレロン (Dr. Caballeron),マイリトルポニー～トモダチは魔法～,
マニアック (Mane-iac),マイリトルポニー～トモダチは魔法～,
キマイラ (Chimera),マイリトルポニー～トモダチは魔法～,
ロードティレック (Lord Tirek),マイリトルポニー～トモダチは魔法～,
スターライトグリマー (Starlight Glimmer),マイリトルポニー～トモダチは魔法～,
大ウミヘビ (Sea Serpent),マイリトルポニー～トモダチは魔法～,
