chara,title,
東和馬（あずま かずま）,焼きたて!!ジャぱん,35
河内恭介（かわち きょうすけ）,焼きたて!!ジャぱん,
梓川月乃（あずさがわ つきの）,焼きたて!!ジャぱん,
松代健（まつしろ けん）,焼きたて!!ジャぱん,
木下陰人（きのした かげと）,焼きたて!!ジャぱん,
黒柳亮（くろやなぎ りょう）,焼きたて!!ジャぱん,
諏訪原戒（すわばら かい）,焼きたて!!ジャぱん,
冠茂（かんむり しげる）,焼きたて!!ジャぱん,
模糊山剛（もこやま つよし）,焼きたて!!ジャぱん,
コアラ,焼きたて!!ジャぱん,
パンダ,焼きたて!!ジャぱん,
マイスター霧崎（マイスター きりさき）,焼きたて!!ジャぱん,
梓川貞尚（あずさがわ さだなお）,焼きたて!!ジャぱん,
梓川貞道（あずさがわ さだみち）,焼きたて!!ジャぱん,
霧崎雄一（きりさき ゆういち）,焼きたて!!ジャぱん,
梓川雪乃（あずさがわ ゆきの）,焼きたて!!ジャぱん,
風森（かざもり）,焼きたて!!ジャぱん,
梓川水乃（あずさがわ みずの）,焼きたて!!ジャぱん,
S・H・ホコー（スペンサー・ヘンリー・ホコー）,焼きたて!!ジャぱん,
デーブ橋口（デーブ はしぐち）,焼きたて!!ジャぱん,
胚地（はいぢ）,焼きたて!!ジャぱん,
海野カツヲ（うみの カツヲ）,焼きたて!!ジャぱん,
本橋優子（もとはし ゆうこ）,焼きたて!!ジャぱん,
長宗我部真（ちょうそがべ まこと）,焼きたて!!ジャぱん,
ソフィ・バルザック・霧崎（ソフィ・バルザック・きりさき）,焼きたて!!ジャぱん,
ピエロ・ボルネーゼ,焼きたて!!ジャぱん,
エドワード・カイザー,焼きたて!!ジャぱん,
ボブ・カイザー,焼きたて!!ジャぱん,
グラン・カイザー,焼きたて!!ジャぱん,
モニカ・アデナウアー,焼きたて!!ジャぱん,
シャドウ・ホワイト,焼きたて!!ジャぱん,
レオンハルト14世,焼きたて!!ジャぱん,
メーテル・レオンハルト,焼きたて!!ジャぱん,
ファラオ,焼きたて!!ジャぱん,
ムハンマド,焼きたて!!ジャぱん,
クレオ,焼きたて!!ジャぱん,
堤政伸（つつみ まさのぶ）,焼きたて!!ジャぱん,
橋口隆死（はしぐち たかし）,焼きたて!!ジャぱん,
三木のり平（みき のりへい）,焼きたて!!ジャぱん,
ジョヴァンニ＝ヴァン＝デル＝ヘッセリンク,焼きたて!!ジャぱん,
マルコ・チッコリーニ,焼きたて!!ジャぱん,
岩城鉄生,焼きたて!!ジャぱん,
坪塚拓美 （つぼづか たくみ）,焼きたて!!ジャぱん,
千祭剛 （ちまつり ごう）,焼きたて!!ジャぱん,
要博士（かなめ ひろし）,焼きたて!!ジャぱん,
成海静人（なるみ しずと）,焼きたて!!ジャぱん,
東稲穂（あずま いなほ）,焼きたて!!ジャぱん,
東馬太郎（あずま うまたろう）,焼きたて!!ジャぱん,
