キャラクター,タイトル,
光月 未夢（こうづき みゆ）,だぁ!だぁ!だぁ!,15
西遠寺 彷徨（さいおんじ かなた）,だぁ!だぁ!だぁ!,
ルゥ,だぁ!だぁ!だぁ!,
ワンニャー（欧米版：Baumiao）,だぁ!だぁ!だぁ!,
ペポ,だぁ!だぁ!だぁ!,
花小町 クリスティーヌ（はなこまち クリスティーヌ）,だぁ!だぁ!だぁ!,
花小町 ももか（はなこまち ももか）,だぁ!だぁ!だぁ!,
花小町 栗太（はなこまち くりた）,だぁ!だぁ!だぁ!,
黒須 三太（くろす さんた）,だぁ!だぁ!だぁ!,
小西 綾（こにし あや）,だぁ!だぁ!だぁ!,
天地 ななみ（てんち ななみ）,だぁ!だぁ!だぁ!,
光ヶ丘 望（ひかりがおか のぞむ）,だぁ!だぁ!だぁ!,
山村 みかん（やまむら みかん）,だぁ!だぁ!だぁ!,
光月 未来（こうづき みき）,だぁ!だぁ!だぁ!,
光月 優（こうづき ゆう）,だぁ!だぁ!だぁ!,
西遠寺 宝晶（さいおんじ ほうしょう）,だぁ!だぁ!だぁ!,
西遠寺 瞳（さいおんじ ひとみ）,だぁ!だぁ!だぁ!,
夜星 星矢（やぼし せいや）,だぁ!だぁ!だぁ!,
夜星 流（やぼし るい）,だぁ!だぁ!だぁ!,
諸星 輝（もろぼし てる）,だぁ!だぁ!だぁ!,
ドリアン,だぁ!だぁ!だぁ!,
キウイ,だぁ!だぁ!だぁ!,
グアバ,だぁ!だぁ!だぁ!,
山村 みずき（やまむら みずき）,だぁ!だぁ!だぁ!,
水野先生,だぁ!だぁ!だぁ!,
鹿田さん,だぁ!だぁ!だぁ!,
校長,だぁ!だぁ!だぁ!,
彷徨ファンクラブ,だぁ!だぁ!だぁ!,
ミドレ川（ミドレかわ）【音符】,だぁ!だぁ!だぁ!,
鈴田（すずた）【鈴】,だぁ!だぁ!だぁ!,
マリ山（マリやま）【テニスボール】,だぁ!だぁ!だぁ!,
喜上 アキラ（きじょう アキラ）（原作3巻、アニメ33 - 34話）,だぁ!だぁ!だぁ!,
岡田 愛（おかだ あい）（10話）,だぁ!だぁ!だぁ!,
クシャーナ（17話）,だぁ!だぁ!だぁ!,
ジャマク村の青年（17話）,だぁ!だぁ!だぁ!,
そうじくん（19話）,だぁ!だぁ!だぁ!,
豆腐人間（とうふにんげん）（23話）,だぁ!だぁ!だぁ!,
ジュエル星人（29話）,だぁ!だぁ!だぁ!,
ジジワンニャー[注 2]（30話）,だぁ!だぁ!だぁ!,
一発 当（いっぱつ あてる）（37話）,だぁ!だぁ!だぁ!,
鯉のぼり星人の父子（44話）,だぁ!だぁ!だぁ!,
グルメ星人（48話）,だぁ!だぁ!だぁ!,
畑山先生（はたけやませんせい）（49話）,だぁ!だぁ!だぁ!,
ユズヒコ（51話）,だぁ!だぁ!だぁ!,
ビンセント博士（53 - 54話）,だぁ!だぁ!だぁ!,
ジュディー（57話）,だぁ!だぁ!だぁ!,
駒田 あゆみ（こまだ あゆみ）（60話）,だぁ!だぁ!だぁ!,
カボ吉（カボきち）（62話）,だぁ!だぁ!だぁ!,
勉強宇宙人（63話）,だぁ!だぁ!だぁ!,
白井 茜（しらい あかね）（64話）,だぁ!だぁ!だぁ!,
夢小路 小梅（ゆめこうじ こうめ）（66、75話）,だぁ!だぁ!だぁ!,
七福神（71話）,だぁ!だぁ!だぁ!,
化学の先生（原作2巻、アニメ各話）,だぁ!だぁ!だぁ!,
配達員（宅配員）（アニメ各話）,だぁ!だぁ!だぁ!,
いつもの販売員 （アニメ各話）,だぁ!だぁ!だぁ!,
チンピラ2人組（原作4巻）,だぁ!だぁ!だぁ!,
三太のおじ（原作8巻）,だぁ!だぁ!だぁ!,
キョウコ（原作9巻）,だぁ!だぁ!だぁ!,
モン吉（モンきち）,だぁ!だぁ!だぁ!,
ピキピキエンジェル,だぁ!だぁ!だぁ!,
ケイ,ダーティペア,15
ユリ,ダーティペア,
ムギ,ダーティペア,
ソラナカ,ダーティペア,
天使の憂鬱－ダーティペアFLASH<1>,ダーティペア,
天使の微笑－ダーティペアFLASH<2>,ダーティペア,
天使の悪戯－ダーティペアFLASH<3>,ダーティペア,
ダーティペアFLASH ユリ&ケイ 天使の休息,ダーティペア,
サンライズワールド　ミッション1,ダーティペア,
ヒロ,ダーリン・イン・ザ・フランキス,15
ゼロツー,ダーリン・イン・ザ・フランキス,
イチゴ,ダーリン・イン・ザ・フランキス,
ゴロー,ダーリン・イン・ザ・フランキス,
ゾロメ,ダーリン・イン・ザ・フランキス,
ミク,ダーリン・イン・ザ・フランキス,
ミツル,ダーリン・イン・ザ・フランキス,
ココロ,ダーリン・イン・ザ・フランキス,
フトシ,ダーリン・イン・ザ・フランキス,
イクノ,ダーリン・イン・ザ・フランキス,
ナオミ,ダーリン・イン・ザ・フランキス,
ナナ,ダーリン・イン・ザ・フランキス,
新ナナ,ダーリン・イン・ザ・フランキス,
ハチ,ダーリン・イン・ザ・フランキス,
フランクス博士,ダーリン・イン・ザ・フランキス,
七賢人,ダーリン・イン・ザ・フランキス,
叫竜の姫 / 001（ゼロゼロイチ）,ダーリン・イン・ザ・フランキス,
カリナ・ミルザ,ダーリン・イン・ザ・フランキス,
ストレリチア,ダーリン・イン・ザ・フランキス,
ストレリチア・XX（キス）,ダーリン・イン・ザ・フランキス,
ストレリチア・ゼロワン,ダーリン・イン・ザ・フランキス,
ストレリチア・アパス,ダーリン・イン・ザ・フランキス,
ストレリチア・真アパス[注 12],ダーリン・イン・ザ・フランキス,
デルフィニウム,ダーリン・イン・ザ・フランキス,
アルジェンティア,ダーリン・イン・ザ・フランキス,
ジェニスタ,ダーリン・イン・ザ・フランキス,
クロロフィッツ,ダーリン・イン・ザ・フランキス,
伊達 直人 / タイガーマスク,タイガーマスク,15
若月 ルリ子,タイガーマスク,
若月先生,タイガーマスク,
健太,タイガーマスク,
ジャイアント馬場,タイガーマスク,
アントニオ猪木,タイガーマスク,
大木金太郎,タイガーマスク,
嵐 虎之介,タイガーマスク,
ミスターX,タイガーマスク,
虎の穴の三人の支配者,タイガーマスク,
虎の穴のボス / タイガー・ザ・グレート / ミラクル3,タイガーマスク,
大門 大吾 / ミスター不動,タイガーマスク,
高岡 拳太郎 / ケン高岡 / イエローデビル,タイガーマスク,
東 ナオト（あずま ナオト） / タイガーマスク / タイガーマスクW,タイガーマスクW,15
藤井 タクマ（ふじい タクマ） / タイガー・ザ・ダーク / タイガーマスクW,タイガーマスクW,
高岡 春奈（たかおか はるな）,タイガーマスクW,
スプリングタイガー,タイガーマスクW,
高岡拳太郎（たかおか けんたろう）,タイガーマスクW,
藤井大助（ふじい だいすけ）,タイガーマスクW,
山科ルリコ（やましな ルリコ）,タイガーマスクW,
オカダ・カズチカ,タイガーマスクW,
棚橋弘至（たなはし ひろし）,タイガーマスクW,
イッツザエース,タイガーマスクW,
