キャラクター,タイトル,
坂本 あつこ,ハーイあっこです,25
坂本 セツコ,ハーイあっこです,
坂本 ジュンイチ,ハーイあっこです,
坂本 タロー,ハーイあっこです,
坂本 ハナコ,ハーイあっこです,
坂本 のどか,ハーイあっこです,
ユキエ,ハーイあっこです,
太一,ハーイあっこです,
政子,ハーイあっこです,
山下夫人,ハーイあっこです,
ヒナコ,ハーイあっこです,
ヨシコ,ハーイあっこです,
アキラ,ハーイあっこです,
ノリコ,ハーイあっこです,
野々宮 ジュン（声 - 山本百合子）,はーいステップジュン,25
加納 零（声 - 難波圭一）,はーいステップジュン,
吉之介（声 - つかせのりこ）,はーいステップジュン,
雪之嬢（声 - 西原久美子）,はーいステップジュン,
加納 式部（声 - 鈴木れい子／（若い時）鶴ひろみ）,はーいステップジュン,
水野 洋子（声 - 増山江威子）,はーいステップジュン,
羽生 等（声 - 田中亮一）,はーいステップジュン,
冴沙,はーいステップジュン,
野々宮 啓一郎（声 - はせさん治）,はーいステップジュン,
野々宮 敏江（声 - 上村典子）,はーいステップジュン,
佐藤 淑子（声 - 頓宮恭子）,はーいステップジュン,
田中 正子（声 - 渡辺菜生子）,はーいステップジュン,
大畑先生（声 - 銀河万丈）,はーいステップジュン,
高田 たまこ（声 - 中谷ゆみ）,はーいステップジュン,
ジャック・モレノ,バーチャファイター,25
保安官,バーチャファイター,
リュウ・カオルン,バーチャファイター,
ジミー・ゲイツ,バーチャファイター,
エヴァ・デュリックス,バーチャファイター,
鬼丸,バーチャファイター,
我王,バーチャファイター,
仁王,バーチャファイター,
バーバパパたびにでる,バーバパパ,25
バーバパパのいえさがし,バーバパパ,
バーバパパのはこぶね,バーバパパ,
バーバパパのがっこう,バーバパパ,
バーバパパのだいサーカス,バーバパパ,
バーバパパのプレゼント,バーバパパ,
バーバパパのしまづくり,バーバパパ,
バーバパパのなつやすみ,バーバパパ,
バーバパパかせいへいく,バーバパパ,
バーバパパ（英・仏: Barbapapa）,バーバパパ,
バーバママ（英・仏: Barbamama）,バーバパパ,
バーバモジャ（英: Barbabeau / 仏: Barbouille）,バーバパパ,
バーバピカリ（英: Barbabright / 仏: Barbibul）,バーバパパ,
バーバズー（英: Barbazoo / 仏: Barbidou）,バーバパパ,
バーバブラボー（英: Barbabravo / 仏: Barbidur）,バーバパパ,
バーバリブ（英: Barbalib / 仏: Barbotine）,バーバパパ,
バーバベル（英・仏: Barbabelle）,バーバパパ,
バーバララ（英・仏: Barbalala）,バーバパパ,
フランソワ,バーバパパ,
クロディーヌ,バーバパパ,
ロリータ（英・仏: Lolita）,バーバパパ,
オオハシくん（英・仏: Toucan）,バーバパパ,
プンプンファミリー,バーバパパ,
バーバテンテン,バーバパパ,
バーバババ,バーバパパ,
ハーメル,ハーメルンのバイオリン弾き,25
フルート,ハーメルンのバイオリン弾き,
オーボウ,ハーメルンのバイオリン弾き,
ライエル,ハーメルンのバイオリン弾き,
サイザー,ハーメルンのバイオリン弾き,
トロン・ボーン,ハーメルンのバイオリン弾き,
パンドラ,ハーメルンのバイオリン弾き,
オカリナ,ハーメルンのバイオリン弾き,
ワルキューレ,ハーメルンのバイオリン弾き,
ホルン,ハーメルンのバイオリン弾き,
クラーリィ・ネッド,ハーメルンのバイオリン弾き,
コル・ネッド,ハーメルンのバイオリン弾き,
パーカス,ハーメルンのバイオリン弾き,
スフォルツェンド聖十字軍王家親衛隊,ハーメルンのバイオリン弾き,
リュート,ハーメルンのバイオリン弾き,
チェンバレン15世,ハーメルンのバイオリン弾き,
クラーリィの父,ハーメルンのバイオリン弾き,
クラーリィの母,ハーメルンのバイオリン弾き,
シュリンクス・ボーン,ハーメルンのバイオリン弾き,
ショーム・ボーン,ハーメルンのバイオリン弾き,
騎士団長,ハーメルンのバイオリン弾き,
グロッケンシュピール,ハーメルンのバイオリン弾き,
ハープ・シコード,ハーメルンのバイオリン弾き,
シターン,ハーメルンのバイオリン弾き,
アルト,ハーメルンのバイオリン弾き,
コキュウ,ハーメルンのバイオリン弾き,
